classification_id,classification_uuid,taxon_id,taxon_classification_id,path,rank,current_scientific_name,current_scientific_name_exact,scientific_name_synonym,scientific_name_synonym_exact,common_name
1,149f50d1-44e8-4f15-a092-251af314041d,440936,1_440936,Fungi|Ascomycota|Dothideomycetes|Botryosphaeriales|Botryosphaeriaceae|Guignardia|Guignardia euphorbiae,sp.,Guignardia euphorbiae Rayss 1946,Guignardia euphorbiae,"","",""
1,149f50d1-44e8-4f15-a092-251af314041d,402312,1_402312,Fungi|Ascomycota|Lecanoromycetes|Ostropales|Porinaceae|Porina|Porina tonduziana,sp.,Porina tonduziana Müll. Arg. 1893,Porina tonduziana,"","",""
1,149f50d1-44e8-4f15-a092-251af314041d,393190,1_393190,Fungi|Ascomycota|Incertae sedis|Incertae sedis|Incertae sedis|Lepra|Lepra cinnabarina,sp.,Lepra cinnabarina (Baumgartner) Humb. 1793,Lepra cinnabarina,"","",""
1,149f50d1-44e8-4f15-a092-251af314041d,379399,1_379399,,sp.,Biatorina anomaliza Arnold 1870,Biatorina anomaliza,"","",""
1,149f50d1-44e8-4f15-a092-251af314041d,294706,1_294706,Fungi|Ascomycota|Sordariomycetes|Sordariales|Chaetomiaceae|Chaetomium|Chaetomium repandum,sp.,Chaetomium repandum Bat. & Pontual 1948,Chaetomium repandum,"","",""
1,149f50d1-44e8-4f15-a092-251af314041d,132316,1_132316,Fungi|Ascomycota|Lecanoromycetes|Lecanorales|Parmeliaceae|Xanthoparmelia|Xanthoparmelia xanthomelaena,sp.,Xanthoparmelia xanthomelaena (Müll. Arg.) Hale 1987,Xanthoparmelia xanthomelaena,"Parmelia adhaerens Nyl. 1876,Parmelia xanthomelaena Müll. Arg. 1883,Xanthoparmelia arseneana (Gyeln.) Hale 1974,Karoowia adhaerens (Nyl.) Hale 1989,Parmelia arseneana Gyeln. 1938,Paraparmelia xanthomelaena (Müll. Arg.) Elix & J. Johnst. 1986,Pseudoparmelia xanthomelaena (Müll. Arg.) Hale 1974,Xanthoparmelia adhaerens (Nyl.) Hale 1974","Parmelia adhaerens,Parmelia xanthomelaena,Xanthoparmelia arseneana,Karoowia adhaerens,Parmelia arseneana,Paraparmelia xanthomelaena,Pseudoparmelia xanthomelaena,Xanthoparmelia adhaerens",""
1,149f50d1-44e8-4f15-a092-251af314041d,133198,1_133198,Fungi|Basidiomycota|Agaricomycetes|Auriculariales|Auriculariaceae|Fibulosebacea|Fibulosebacea strigosa,sp.,Fibulosebacea strigosa (Bourdot & Galzin) K. Wells & Raitv. 1987,Fibulosebacea strigosa,"Sebacina strigosa Bourdot & Galzin 1909","Sebacina strigosa",""
1,149f50d1-44e8-4f15-a092-251af314041d,390227,1_390227,Fungi|Ascomycota|Lecanoromycetes|Lecideales|Lecideaceae|Lecidea|Lecidea commutans,sp.,Lecidea commutans (Nyl.) Hue 1914,Lecidea commutans,"","",""
1,149f50d1-44e8-4f15-a092-251af314041d,455247,1_455247,Fungi|Ascomycota|Dothideomycetes|Pleosporales|Dacampiaceae|Teichospora|Teichospora gilliesi gilliesi,f.,Teichospora gilliesi f. gilliesi Speg. 1909,Teichospora gilliesi gilliesi,"","",""
1,149f50d1-44e8-4f15-a092-251af314041d,402313,1_402313,Fungi|Ascomycota|Lecanoromycetes|Ostropales|Porinaceae|Porina|Porina triblasta,sp.,Porina triblasta Müll. Arg. 1892,Porina triblasta,"","",""
1,149f50d1-44e8-4f15-a092-251af314041d,393191,1_393191,Fungi|Ascomycota|Incertae sedis|Incertae sedis|Incertae sedis|Lepra|Lepra citrina,sp.,Lepra citrina Schaer. 1823,Lepra citrina,"","",""
1,149f50d1-44e8-4f15-a092-251af314041d,297670,1_297670,Fungi|Basidiomycota|Agaricomycetes|Agaricales|Strophariaceae|Galerina|Galerina riparia,sp.,Galerina riparia Singer 1953,Galerina riparia,"","",""
1,149f50d1-44e8-4f15-a092-251af314041d,294707,1_294707,Fungi|Ascomycota|Sordariomycetes|Sordariales|Chaetomiaceae|Chaetomium|Chaetomium rufum,sp.,Chaetomium rufum K. Ramakr. 1953,Chaetomium rufum,"","",""
1,149f50d1-44e8-4f15-a092-251af314041d,132317,1_132317,Fungi|Ascomycota|Lecanoromycetes|Lecanorales|Parmeliaceae|Xanthoparmelia|Xanthoparmelia affinis,sp.,Xanthoparmelia affinis Hale 1987,Xanthoparmelia affinis,"","",""
1,149f50d1-44e8-4f15-a092-251af314041d,505956,1_505956,Fungi|Ascomycota|Dothideomycetes|Capnodiales|Mycosphaerellaceae|Stenella|Stenella erythroxyli-campestris,sp.,"Stenella erythroxyli-campestris Dorn.-Silva, Pereira-Carv. & Dianese 2008",Stenella erythroxyli-campestris,"","",""
1,149f50d1-44e8-4f15-a092-251af314041d,135280,1_135280,Fungi|Basidiomycota|Agaricomycetes|Russulales|Russulaceae|Russula|Russula galochroides,sp.,Russula galochroides Sarnari 1988,Russula galochroides,"","",""
1,149f50d1-44e8-4f15-a092-251af314041d,390228,1_390228,Fungi|Ascomycota|Lecanoromycetes|Lecideales|Lecideaceae|Lecidea|Lecidea commutata,sp.,Lecidea commutata Ach. 1814,Lecidea commutata,"","",""
1,149f50d1-44e8-4f15-a092-251af314041d,455248,1_455248,Fungi|Ascomycota|Lecanoromycetes|Ostropales|Thelotremataceae|Thelotrema|Thelotrema glaucopallens glaucopallens,var.,Thelotrema glaucopallens var. glaucopallens Nyl. 1863,Thelotrema glaucopallens glaucopallens,"","",""
1,149f50d1-44e8-4f15-a092-251af314041d,393192,1_393192,Fungi|Ascomycota|Incertae sedis|Incertae sedis|Incertae sedis|Lepra|Lepra cobaltiginea,sp.,Lepra cobaltiginea (Wulfen) Schrank 1792,Lepra cobaltiginea,"","",""
1,149f50d1-44e8-4f15-a092-251af314041d,132318,1_132318,Fungi|Ascomycota|Lecanoromycetes|Lecanorales|Parmeliaceae|Xanthoparmelia|Xanthoparmelia applicata,sp.,Xanthoparmelia applicata Hale 1987,Xanthoparmelia applicata,"","",""
1,149f50d1-44e8-4f15-a092-251af314041d,505957,1_505957,Fungi|Ascomycota|Dothideomycetes|Capnodiales|Mycosphaerellaceae|Stenella|Stenella erythroxyli-suberosi,sp.,"Stenella erythroxyli-suberosi Dorn.-Silva, Pereira-Carv. & Dianese 2008",Stenella erythroxyli-suberosi,"","",""
1,149f50d1-44e8-4f15-a092-251af314041d,133199,1_133199,Fungi|Basidiomycota|Agaricomycetes|Boletales|Boletaceae|Xanthoconium|Xanthoconium chattoogaense,sp.,Xanthoconium chattoogaense Wolfe 1987,Xanthoconium chattoogaense,"","",""
1,149f50d1-44e8-4f15-a092-251af314041d,135281,1_135281,Fungi|Basidiomycota|Agaricomycetes|Russulales|Russulaceae|Russula|Russula prinophila,sp.,Russula prinophila Sarnari 1988,Russula prinophila,"","",""
1,149f50d1-44e8-4f15-a092-251af314041d,455249,1_455249,Fungi|Ascomycota|Lecanoromycetes|Ostropales|Thelotremataceae|Thelotrema|Thelotrema leucomelanum leucomelanum,var.,Thelotrema leucomelanum var. leucomelanum Nyl. 1863,Thelotrema leucomelanum leucomelanum,"","",""
1,149f50d1-44e8-4f15-a092-251af314041d,402314,1_402314,Fungi|Ascomycota|Lecanoromycetes|Ostropales|Porinaceae|Porina|Porina trigastrica,sp.,Porina trigastrica Müll. Arg. 1882,Porina trigastrica,"","",""
1,149f50d1-44e8-4f15-a092-251af314041d,393193,1_393193,Fungi|Ascomycota|Incertae sedis|Incertae sedis|Incertae sedis|Lepra|Lepra coccinea,sp.,Lepra coccinea Chevall. 1826,Lepra coccinea,"","",""
1,149f50d1-44e8-4f15-a092-251af314041d,297671,1_297671,Fungi|Basidiomycota|Agaricomycetes|Agaricales|Strophariaceae|Galerina|Galerina rostrata,sp.,Galerina rostrata A.H. Sm. & Singer 1958,Galerina rostrata,"","",""
1,149f50d1-44e8-4f15-a092-251af314041d,132319,1_132319,Fungi|Ascomycota|Lecanoromycetes|Lecanorales|Parmeliaceae|Xanthoparmelia|Xanthoparmelia austrocapensis,sp.,Xanthoparmelia austrocapensis Hale 1987,Xanthoparmelia austrocapensis,"","",""
1,149f50d1-44e8-4f15-a092-251af314041d,440939,1_440939,Fungi|Ascomycota|Dothideomycetes|Pleosporales|Massarinaceae|Helminthosporium|Helminthosporium bondarzewii,sp.,Helminthosporium bondarzewii Pidopl. 1950,Helminthosporium bondarzewii,"","",""
1,149f50d1-44e8-4f15-a092-251af314041d,505958,1_505958,Fungi|Ascomycota|Dothideomycetes|Capnodiales|Mycosphaerellaceae|Stenella|Stenella erythroxylicola,sp.,Stenella erythroxylicola Dorn.-Silva & Dianese 2008,Stenella erythroxylicola,"","",""
1,149f50d1-44e8-4f15-a092-251af314041d,135282,1_135282,Fungi|Basidiomycota|Agaricomycetes|Russulales|Russulaceae|Russula|Russula rhodomarginata,sp.,Russula rhodomarginata Sarnari 1988,Russula rhodomarginata,"","",""
1,149f50d1-44e8-4f15-a092-251af314041d,402315,1_402315,Fungi|Ascomycota|Lecanoromycetes|Ostropales|Porinaceae|Porina|Porina tristissima,sp.,Porina tristissima Vain. 1923,Porina tristissima,"","",""
1,149f50d1-44e8-4f15-a092-251af314041d,393194,1_393194,Fungi|Ascomycota|Incertae sedis|Incertae sedis|Incertae sedis|Lepra|Lepra cretacea,sp.,Lepra cretacea Mérat 1821,Lepra cretacea,"","",""
1,149f50d1-44e8-4f15-a092-251af314041d,297672,1_297672,Fungi|Basidiomycota|Agaricomycetes|Agaricales|Strophariaceae|Galerina|Galerina rudericola,sp.,Galerina rudericola A.H. Sm. 1953,Galerina rudericola,"","",""
1,149f50d1-44e8-4f15-a092-251af314041d,505959,1_505959,Fungi|Ascomycota|Dothideomycetes|Capnodiales|Mycosphaerellaceae|Stenella|Stenella cyrtopodii,sp.,"Stenella cyrtopodii Dorn.-Silva, Pereira-Carv. & Dianese 2008",Stenella cyrtopodii,"","",""
1,149f50d1-44e8-4f15-a092-251af314041d,135283,1_135283,Fungi|Basidiomycota|Agaricomycetes|Agaricales|Strophariaceae|Gymnopilus|Gymnopilus thiersii,sp.,Gymnopilus thiersii M.T. Seidl 1989,Gymnopilus thiersii,"","",""
1,149f50d1-44e8-4f15-a092-251af314041d,297673,1_297673,Fungi|Basidiomycota|Agaricomycetes|Agaricales|Strophariaceae|Galerina|Galerina rugisperma,sp.,Galerina rugisperma A.H. Sm. 1953,Galerina rugisperma,"","",""
1,149f50d1-44e8-4f15-a092-251af314041d,402316,1_402316,Fungi|Ascomycota|Lecanoromycetes|Ostropales|Porinaceae|Porina|Porina trunculus,sp.,Porina trunculus (Stizenb.) Zahlbr. 1922,Porina trunculus,"","",""
